time, Quad.Est.E.Yaw, Quad.Est.S.Yaw
3.649918,0.004348,0.027724
3.654917,0.005125,0.028408
3.659917,0.006269,0.027724
3.664917,0.007095,0.028408
3.669916,0.010228,0.027724
3.674916,0.013191,0.028408
3.679916,0.022814,0.027724
3.684915,0.023784,0.028408
3.689915,0.031234,0.027724
3.694915,0.030697,0.028408
3.699914,0.021347,0.027724
3.704914,0.022272,0.028408
3.709913,0.034184,0.027724
3.714913,0.034252,0.028408
3.719913,0.040368,0.027724
3.724912,0.040888,0.028408
3.729912,0.011253,0.027724
3.734912,0.013365,0.028408
3.739911,-0.008481,0.027724
3.744911,-0.010341,0.028408
3.749911,-0.011574,0.027724
3.754910,-0.011982,0.028408
3.759910,-0.014867,0.027724
3.764910,-0.014335,0.028408
3.769909,-0.013456,0.027724
3.774909,-0.016914,0.028408
3.779908,-0.016586,0.027724
3.784908,-0.018008,0.028408
3.789908,-0.018470,0.027724
3.794907,-0.018926,0.028408
3.799907,0.000586,0.027724
3.804907,0.002109,0.028408
3.809906,0.007874,0.027724
3.814906,0.009593,0.028408
3.819906,0.021964,0.027724
3.824905,0.027331,0.028408
3.829905,0.034375,0.027724
3.834904,0.038497,0.028408
3.839904,0.024025,0.027724
3.844904,0.024724,0.028408
3.849903,0.020362,0.027724
3.854903,0.018172,0.028408
3.859903,0.028207,0.027724
3.864902,0.028442,0.028408
3.869902,0.016888,0.027724
3.874902,0.017647,0.028408
3.879901,0.008770,0.027724
3.884901,0.008254,0.028408
3.889900,0.007449,0.027724
3.894900,0.004264,0.028408
3.899900,0.010764,0.027724
3.904899,0.011215,0.028408
3.909899,0.014210,0.027724
3.914899,0.013683,0.028408
3.919898,0.006708,0.027724
3.924898,0.008236,0.028408
3.929898,0.005819,0.027724
3.934897,0.004402,0.028408
3.939897,0.002284,0.027724
3.944896,0.003932,0.028408
3.949896,-0.008486,0.027724
3.954896,-0.006829,0.028408
3.959895,0.001566,0.027724
3.964895,0.000876,0.028408
3.969895,-0.010685,0.027724
3.974894,-0.011018,0.028408
3.979894,-0.020449,0.027724
3.984894,-0.016088,0.028408
3.989893,-0.024930,0.027724
3.994893,-0.026882,0.028408
3.999892,-0.024794,0.027724
4.004892,-0.026078,0.028408
4.009892,-0.035272,0.027724
4.014892,-0.034459,0.028408
4.019891,-0.024308,0.027724
4.024891,-0.024185,0.028408
4.029891,-0.017928,0.027724
4.034890,-0.017271,0.028408
4.039890,-0.034326,0.027724
4.044889,-0.035891,0.028408
4.049889,-0.038667,0.027724
4.054889,-0.038980,0.028408
4.059888,-0.036209,0.027724
4.064888,-0.040140,0.028408
4.069888,-0.041233,0.027724
4.074887,-0.040500,0.028408
4.079887,-0.018084,0.027724
4.084887,-0.021325,0.028408
4.089886,-0.017066,0.027724
4.094886,-0.020158,0.028408
4.099885,-0.020275,0.027724
4.104885,-0.023494,0.028408
4.109885,-0.022381,0.027724
4.114884,-0.024996,0.028408
4.119884,-0.014932,0.027724
4.124884,-0.013126,0.028408
4.129883,-0.009992,0.027724
4.134883,-0.011437,0.028408
